Date,Open,Close,Adj Close,Volume
12-Nov-20,12702.15039,12690.79981,12690.79981,622000
13-Nov-20,12659.7002,12719.9502,12719.9502,513900
14-Nov-20,null,null,null,null
17-Nov-20,12932.5,12874.2002,12874.2002,707700
18-Nov-20,12860.09961,12938.25,12938.25,731300
19-Nov-20,12839.5,12771.7002,12771.7002,768800
20-Nov-20,12813.40039,12859.04981,12859.04981,664000
23-Nov-20,12960.29981,12926.4502,12926.4502,633100
24-Nov-20,13002.59961,13055.15039,13055.15039,571900
25-Nov-20,13130,12858.40039,12858.40039,679000
26-Nov-20,12906.4502,12987,12987,549800
27-Nov-20,13012.04981,12968.9502,12968.9502,1162400
01-Dec-20,13062.2002,13109.04981,13109.04981,583600
02-Dec-20,13121.40039,13113.75,13113.75,717700
03-Dec-20,13215.29981,13133.90039,13133.90039,713700
04-Dec-20,13177.40039,13258.54981,13258.54981,640500
07-Dec-20,13264.84961,13355.75,13355.75,591700
08-Dec-20,13393.84961,13392.9502,13392.9502,543200
09-Dec-20,13458.09961,13529.09961,13529.09961,502600
10-Dec-20,13488.5,13478.29981,13478.29981,553400
11-Dec-20,13512.29981,13513.84961,13513.84961,787700
14-Dec-20,13571.4502,13558.15039,13558.15039,558400
15-Dec-20,13547.2002,13567.84961,13567.84961,497600
16-Dec-20,13663.09961,13682.7002,13682.7002,462200
17-Dec-20,13713.54981,13740.7002,13740.7002,416000
18-Dec-20,13764.40039,13760.54981,13760.54981,519400
21-Dec-20,13741.90039,13328.40039,13328.40039,687300
22-Dec-20,13373.65039,13466.29981,13466.29981,696200
23-Dec-20,13473.5,13601.09961,13601.09961,458700
24-Dec-20,13672.15039,13749.25,13749.25,471400
28-Dec-20,13815.15039,13873.2002,13873.2002,403600
29-Dec-20,13910.34961,13932.59961,13932.59961,439600
30-Dec-20,13980.90039,13981.9502,13981.9502,380700
31-Dec-20,13970,13981.75,13981.75,452400
01-Jan-21,null,null,null,null
04-Jan-21,14104.34961,14132.90039,14132.90039,495000
05-Jan-21,14075.15039,14199.5,14199.5,492500
